// This research has made use of the NASA Exoplanet Archive, which is operated by the California Institute of Technology, under contract with the National Aeronautics and Space Administration under the Exoplanet Exploration Program.;;;;;;;;;;;;;
Identifier;Host Name;Orbital Period [days];Planet Density [g/cm**3];Distance [pc];Effective Temperature [K];Date of Last Update;Planet Name;Planet Mass [Earth mass];Planet Radius [Earth radii];Year of Discovery;Link to Exoplanet Encyclopaedia;HD Name;HIP Name
// Our solar systen:
epic_220674823_c;EPIC 220674823;13,341245;;253;5590;26.01.2017;EPIC 220674823 c;;2,53;2016;http://exoplanet.eu/catalog/epic_220674823_c/;;
fu_tau_b;FU Tau;;;140;2838;10.03.2016;FU Tau b;5085,28;;2008;http://exoplanet.eu/catalog/fu_tau_b/;;
fomalhaut_b;Fomalhaut;555530;;7,69;;19.11.2015;Fomalhaut b;;;2008;http://exoplanet.eu/catalog/fomalhaut_b/;HD 216956;HIP 113368
gj_1132_b;GJ 1132;1,62893;6;12,04;3270;12.11.2015;GJ 1132 b;1,62;1,16;2015;http://exoplanet.eu/catalog/gj_1132_b/;;
gj_1214_b;GJ 1214;1,58040456;1,49;;3170;03.12.2015;GJ 1214 b;6,26125;2,847;2009;http://exoplanet.eu/catalog/gj_1214_b/;;
gj_15_a_b;GJ 15 A;11,4433;;3,57;3567;18.09.2014;GJ 15 A b;;;2014;http://exoplanet.eu/catalog/gl_15_a_b/;HD 1326 A;HIP 1475
gj_163_b;GJ 163;8,63182;;14,97;3500;26.01.2017;GJ 163 b;;;2013;http://exoplanet.eu/catalog/gj_163_b/;;HIP 19394
gj_163_c;GJ 163;25,63058;;14,97;3500;26.01.2017;GJ 163 c;;;2013;http://exoplanet.eu/catalog/gj_163_c/;;HIP 19394
gj_163_d;GJ 163;603,95116;;14,97;3500;26.01.2017;GJ 163 d;;;2013;http://exoplanet.eu/catalog/gj_163_d/;;HIP 19394
gj_179_b;GJ 179;2288;;12,12;3370;14.05.2014;GJ 179 b;;;2009;http://exoplanet.eu/catalog/gl_179_b/;;HIP 22627
gj_273_b;GJ 273;18,6498;;3,8;3382;30.03.2017;GJ 273 b;;;2017;http://exoplanet.eu/catalog/gj_273_b/;;HIP 36208
gj_273_c;GJ 273;4,7234;;3,8;3382;30.03.2017;GJ 273 c;;;2017;http://exoplanet.eu/catalog/gj_273_c/;;HIP 36208
gj_3021_b;GJ 3021;133,71;;17,62;5540;14.05.2014;GJ 3021 b;;;2000;http://exoplanet.eu/catalog/gj_3021_b/;HD 1237;HIP 1292
gj_3138_b;GJ 3138;1,22003;;28,48;3717;30.03.2017;GJ 3138 b;;;2017;http://exoplanet.eu/catalog/gj_3138_b/;;HIP 10037
gj_3138_c;GJ 3138;5,974;;28,48;3717;30.03.2017;GJ 3138 c;;;2017;http://exoplanet.eu/catalog/gj_3138_c/;;HIP 10037
gj_3138_d;GJ 3138;257,8;;28,48;3717;30.03.2017;GJ 3138 d;;;2017;http://exoplanet.eu/catalog/gj_3138_d/;;HIP 10037
